"","day","wday","hour","count"
"494",16976,6,13,3
"495",16976,6,14,7
"496",16976,6,15,3
"497",16976,6,16,9
"498",16976,6,17,11
"499",16976,6,18,11
"500",16976,6,19,9
"501",16976,6,20,8
"502",16976,6,21,10
"503",16976,6,22,19
"504",16976,6,23,34
"505",16977,7,0,46
"506",16977,7,1,33
"507",16977,7,2,45
"508",16977,7,3,60
"509",16977,7,4,65
"510",16977,7,5,59
"511",16977,7,6,36
"512",16977,7,7,27
"513",16977,7,8,9
"514",16977,7,9,1
"515",16977,7,10,1
"516",16977,7,11,1
"517",16977,7,12,2
"518",16977,7,13,0
"519",16977,7,14,3
"520",16977,7,15,5
"521",16977,7,16,7
"522",16977,7,17,6
"523",16977,7,18,15
"524",16977,7,19,10
"525",16977,7,20,12
"526",16977,7,21,16
"527",16977,7,22,21
"528",16977,7,23,31
"529",16978,1,0,48
"530",16978,1,1,37
"531",16978,1,2,41
"532",16978,1,3,52
"533",16978,1,4,66
"534",16978,1,5,40
"535",16978,1,6,32
"536",16978,1,7,23
"537",16978,1,8,13
"538",16978,1,9,2
"539",16978,1,10,3
"540",16978,1,11,2
"541",16978,1,12,2
"542",16978,1,13,2
"543",16978,1,14,1
"544",16978,1,15,5
"545",16978,1,16,6
"546",16978,1,17,8
"547",16978,1,18,13
"548",16978,1,19,5
"549",16978,1,20,15
"550",16978,1,21,11
"551",16978,1,22,8
"552",16978,1,23,16
"553",16979,2,0,8
"554",16979,2,1,9
"555",16979,2,2,12
"556",16979,2,3,4
"557",16979,2,4,1
"558",16979,2,5,1
"559",16979,2,6,0
"560",16979,2,7,0
"561",16979,2,8,0
"562",16979,2,9,2
"563",16979,2,10,2
"564",16979,2,11,1
"565",16979,2,12,3
"566",16979,2,13,6
"567",16979,2,14,7
"568",16979,2,15,7
"569",16979,2,16,4
"570",16979,2,17,7
"571",16979,2,18,7
"572",16979,2,19,2
"573",16979,2,20,13
"574",16979,2,21,4
"575",16979,2,22,3
"576",16979,2,23,8
"577",16980,3,0,7
"578",16980,3,1,2
"579",16980,3,2,6
"580",16980,3,3,2
"581",16980,3,4,3
"582",16980,3,5,3
"583",16980,3,6,0
"584",16980,3,7,1
"585",16980,3,8,0
"586",16980,3,9,0
"587",16980,3,10,0
"588",16980,3,11,0
"589",16980,3,12,2
"590",16980,3,13,6
"591",16980,3,14,3
"592",16980,3,15,4
"593",16980,3,16,5
"594",16980,3,17,4
"595",16980,3,18,9
"596",16980,3,19,5
"597",16980,3,20,5
"598",16980,3,21,6
"599",16980,3,22,4
"600",16980,3,23,9
"601",16981,4,0,11
"602",16981,4,1,7
"603",16981,4,2,8
"604",16981,4,3,7
"605",16981,4,4,8
"606",16981,4,5,5
"607",16981,4,6,0
"608",16981,4,7,0
"609",16981,4,8,0
"610",16981,4,9,0
"611",16981,4,10,1
"612",16981,4,11,2
"613",16981,4,12,1
"614",16981,4,13,6
"615",16981,4,14,3
"616",16981,4,15,5
"617",16981,4,16,3
"618",16981,4,17,9
"619",16981,4,18,9
"620",16981,4,19,1
"621",16981,4,20,4
"622",16981,4,21,4
"623",16981,4,22,8
"624",16981,4,23,5
"625",16982,5,0,12
"626",16982,5,1,10
"627",16982,5,2,12
"628",16982,5,3,10
"629",16982,5,4,7
"630",16982,5,5,4
"631",16982,5,6,1
"632",16982,5,7,2
"633",16982,5,8,1
"634",16982,5,9,1
"635",16982,5,10,4
"636",16982,5,11,3
"637",16982,5,12,1
"638",16982,5,13,2
"639",16982,5,14,2
"640",16982,5,15,2
"641",16982,5,16,4
"642",16982,5,17,7
"643",16982,5,18,14
"644",16982,5,19,9
"645",16982,5,20,9
"646",16982,5,21,8
"647",16982,5,22,10
"648",16982,5,23,22
"649",16983,6,0,19
"650",16983,6,1,18
"651",16983,6,2,25
"652",16983,6,3,18
"653",16983,6,4,17
"654",16983,6,5,14
"655",16983,6,6,12
"656",16983,6,7,7
"657",16983,6,8,1
"658",16983,6,9,0
"659",16983,6,10,0
"660",16983,6,11,0
"661",16983,6,12,5
"662",16983,6,13,4
"663",16983,6,14,6
"664",16983,6,15,9
"665",16983,6,16,7
"666",16983,6,17,12
"667",16983,6,18,10
"668",16983,6,19,10
"669",16983,6,20,16
"670",16983,6,21,21
"671",16983,6,22,33
"672",16983,6,23,44
"673",16984,7,0,53
"674",16984,7,1,54
"675",16984,7,2,66
"676",16984,7,3,65
"677",16984,7,4,77
"678",16984,7,5,76
"679",16984,7,6,53
"680",16984,7,7,47
"681",16984,7,8,14
"682",16984,7,9,3
"683",16984,7,10,0
"684",16984,7,11,0
"685",16984,7,12,0
"686",16984,7,13,3
"687",16984,7,14,6
"688",16984,7,15,9
"689",16984,7,16,13
"690",16984,7,17,23
"691",16984,7,18,15
"692",16984,7,19,18
"693",16984,7,20,17
"694",16984,7,21,25
"695",16984,7,22,28
"696",16984,7,23,35
"697",16985,1,0,65
"698",16985,1,1,63
"699",16985,1,2,83
"700",16985,1,3,83
"701",16985,1,4,91
"702",16985,1,5,71
"703",16985,1,6,74
"704",16985,1,7,61
"705",16985,1,8,19
"706",16985,1,9,5
"707",16985,1,10,1
"708",16985,1,11,0
"709",16985,1,12,1
"710",16985,1,13,1
"711",16985,1,14,3
"712",16985,1,15,3
"713",16985,1,16,12
"714",16985,1,17,8
"715",16985,1,18,15
"716",16985,1,19,18
"717",16985,1,20,20
"718",16985,1,21,21
"719",16985,1,22,28
"720",16985,1,23,30
"721",16986,2,0,40
"722",16986,2,1,40
"723",16986,2,2,55
"724",16986,2,3,44
"725",16986,2,4,35
"726",16986,2,5,35
