"","x"
"1399",1
"1400",-1
"1401",-2
"1402",5
"1403",-5
"1404",9
"1405",-11
"1406",9
"1407",-7
"1408",4
"1409",-2
"1410",7
"1411",2
"1412",-2
"1413",-1
"1414",-6
"1415",11
"1416",2
"1417",-12
"1418",-1
"1419",10
"1420",-3
"1421",-6
"1422",0
"1423",-1
"1424",-4
"1425",2
"1426",-2
"1427",2
"1428",7
"1429",-4
"1430",10
"1431",-16
"1432",15
"1433",-1
"1434",11
"1435",-13
"1436",-5
"1437",6
"1438",6
"1439",-2
"1440",5
"1441",-8
"1442",-8
"1443",2
"1444",-5
"1445",8
"1446",-3
"1447",1
"1448",-2
"1449",0
"1450",-7
"1451",5
"1452",5
"1453",-5
"1454",-1
"1455",13
"1456",-2
"1457",5
"1458",-7
"1459",1
"1460",4
"1461",1
"1462",-10
"1463",24
"1464",-45
"1465",28
"1466",-18
"1467",-16
"1468",17
"1469",17
"1470",-6
"1471",-3
"1472",-4
"1473",1
"1474",-1
"1475",3
"1476",2
"1477",9
"1478",-11
"1479",13
"1480",3
"1481",-12
"1482",10
"1483",2
"1484",-12
"1485",15
"1486",34
"1487",15
"1488",-12
"1489",-11
"1490",-22
"1491",19
"1492",-7
"1493",-17
"1494",2
"1495",-22
"1496",5
"1497",-6
"1498",6
"1499",1
"1500",-2
"1501",10
"1502",13
"1503",-9
"1504",26
"1505",-11
"1506",20
"1507",-4
"1508",-16
"1509",-18
"1510",14
"1511",23
"1512",8
"1513",-19
"1514",34
"1515",65
"1516",30
"1517",-62
"1518",-21
"1519",-35
"1520",-26
"1521",-24
"1522",6
"1523",-2
"1524",1
"1525",1
"1526",-2
"1527",2
"1528",11
"1529",7
"1530",-1
"1531",-2
"1532",4
"1533",-10
"1534",-18
"1535",30
"1536",-41
"1537",1
"1538",30
"1539",6
"1540",-22
"1541",-11
"1542",17
"1543",-52
"1544",63
"1545",-20
"1546",1
"1547",1
"1548",5
"1549",-2
"1550",7
"1551",0
"1552",7
"1553",-4
"1554",17
"1555",-11
"1556",-5
"1557",-10
"1558",-5
"1559",3
"1560",-7
"1561",10
"1562",-6
"1563",-2
"1564",-8
"1565",6
"1566",-1
"1567",0
"1568",1
"1569",8
"1570",-5
"1571",4
"1572",-2
"1573",-5
"1574",10
"1575",9
"1576",-3
"1577",-6
"1578",0
"1579",9
"1580",-12
"1581",0
"1582",8
"1583",0
"1584",-15
"1585",10
"1586",8
"1587",-12
"1588",-3
"1589",-5
"1590",3
"1591",0
"1592",2
"1593",2
"1594",-1
"1595",1
"1596",-5
"1597",17
"1598",-6
"1599",-4
"1600",-12
"1601",7
"1602",-3
"1603",25
"1604",-10
"1605",1
"1606",-6
"1607",10
"1608",-17
"1609",4
"1610",8
"1611",-1
"1612",2
"1613",-16
"1614",1
"1615",-1
"1616",4
"1617",-2
"1618",0
"1619",5
"1620",23
"1621",8
"1622",-7
"1623",-15
"1624",-11
"1625",-2
"1626",16
"1627",-9
"1628",1
"1629",-2
"1630",27
"1631",-8
"1632",-18
"1633",-8
"1634",0
"1635",3
"1636",7
"1637",-11
"1638",6
"1639",-1
"1640",-2
"1641",-1
"1642",3
"1643",1
"1644",8
"1645",-2
"1646",6
"1647",-29
"1648",2
"1649",13
"1650",14
"1651",-7
"1652",16
"1653",-7
"1654",-37
"1655",-28
"1656",47
"1657",-25
"1658",24
"1659",6
"1660",-9
"1661",7
"1662",6
"1663",6
"1664",-17
"1665",2
"1666",5
"1667",-4
"1668",22
"1669",-31
"1670",12
"1671",-4
"1672",-20
"1673",7
"1674",-10
"1675",5
"1676",16
"1677",6
"1678",16
"1679",15
"1680",18
"1681",14
"1682",-37
"1683",-8
"1684",-69
"1685",18
"1686",33
"1687",31
"1688",-35
"1689",3
"1690",-9
"1691",5
"1692",11
"1693",-3
"1694",-7
"1695",-10
"1696",3
"1697",1
"1698",11
"1699",-14
"1700",9
"1701",36
"1702",26
"1703",-46
"1704",1
"1705",3
"1706",-26
"1707",-27
"1708",56
"1709",14
"1710",-30
"1711",9
"1712",-22
"1713",8
"1714",1
"1715",3
"1716",-6
"1717",1
"1718",10
"1719",9
"1720",-12
"1721",1
"1722",-15
"1723",4
"1724",9
"1725",7
"1726",14
"1727",-15
"1728",14
"1729",-19
"1730",6
"1731",-1
"1732",7
"1733",-10
"1734",2
"1735",0
"1736",-6
"1737",-8
"1738",6
"1739",7
"1740",-8
"1741",12
"1742",-16
"1743",2
"1744",7
"1745",-1
"1746",-14
"1747",-8
"1748",29
"1749",-14
"1750",3
"1751",16
"1752",31
"1753",-9
"1754",-24
"1755",-6
"1756",7
"1757",9
"1758",-11
"1759",3
"1760",-11
"1761",-8
"1762",4
"1763",-3
"1764",16
"1765",-2
"1766",-7
"1767",18
"1768",-10
"1769",16
"1770",-6
"1771",-23
"1772",1
"1773",19
"1774",12
"1775",2
"1776",-4
"1777",-1
"1778",1
"1779",4
"1780",-11
"1781",-25
"1782",-5
"1783",7
"1784",-4
"1785",3
"1786",2
"1787",4
"1788",-24
"1789",5
"1790",13
"1791",2
"1792",2
"1793",-8
"1794",-6
"1795",12
"1796",-3
"1797",13
"1798",-4
"1799",-90
"1800",20
"1801",32
"1802",17
"1803",33
"1804",-3
"1805",-6
"1806",-1
"1807",-6
"1808",-5
"1809",0
"1810",3
"1811",-5
"1812",8
"1813",1
"1814",-9
"1815",8
"1816",16
"1817",-25
"1818",-7
"1819",19
"1820",-18
"1821",14
"1822",25
"1823",55
"1824",-41
"1825",17
"1826",24
"1827",29
"1828",60
"1829",-26
"1830",-4
"1831",-57
"1832",-82
"1833",2
"1834",-14
"1835",9
"1836",0
"1837",27
"1838",-35
"1839",22
"1840",11
"1841",-22
"1842",8
"1843",-10
"1844",20
"1845",7
"1846",-11
"1847",-7
"1848",-16
"1849",55
"1850",-4
"1851",20
"1852",87
"1853",8
"1854",-38
"1855",-58
"1856",-48
"1857",-9
"1858",-8
"1859",-2
"1860",-2
"1861",0
"1862",17
"1863",12
"1864",15
"1865",-7
"1866",9
"1867",39
"1868",-20
"1869",-11
"1870",-2
"1871",108
"1872",-28
"1873",8
"1874",2
"1875",-26
"1876",-55
"1877",46
"1878",-5
"1879",-15
"1880",-23
"1881",-50
"1882",-4
"1883",-4
"1884",4
"1885",7
"1886",-9
"1887",1
"1888",23
"1889",5
"1890",3
"1891",-13
"1892",3
"1893",-12
"1894",-1
"1895",4
"1896",-13
"1897",6
"1898",11
"1899",10
"1900",-17
"1901",-6
"1902",-13
"1903",-1
"1904",1
"1905",6
"1906",1
"1907",-13
"1908",10
"1909",11
"1910",5
"1911",0
"1912",-11
"1913",-3
"1914",14
"1915",6
"1916",-13
"1917",18
"1918",-1
"1919",-11
"1920",-40
"1921",4
"1922",22
"1923",-2
"1924",-4
"1925",-11
"1926",5
"1927",-7
"1928",9
"1929",10
"1930",2
"1931",-1
"1932",-12
"1933",0
"1934",3
"1935",12
"1936",-11
"1937",-12
"1938",0
"1939",13
"1940",12
"1941",-21
"1942",0
"1943",1
"1944",5
"1945",-3
"1946",-3
"1947",1
"1948",2
"1949",23
"1950",-4
"1951",-10
"1952",4
"1953",-2
"1954",-4
"1955",3
"1956",-4
"1957",4
"1958",-34
"1959",29
"1960",14
"1961",0
"1962",14
"1963",-5
"1964",7
"1965",-7
"1966",-12
"1967",88
"1968",8
"1969",-37
"1970",-23
"1971",-42
"1972",3
"1973",5
"1974",-15
"1975",7
"1976",0
"1977",7
"1978",-7
"1979",11
"1980",-5
"1981",12
"1982",-3
"1983",-4
"1984",17
"1985",22
"1986",-22
"1987",-13
"1988",34
"1989",-17
"1990",-8
"1991",-37
"1992",19
"1993",21
"1994",-20
"1995",-20
"1996",-3
"1997",38
"1998",-41
"1999",22
"2000",-3
"2001",5
